ID,start,end,code,team,action,half,pos_x,pos_y
62,70.68,90.68,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,91.6,68.0
63,72.66,92.66,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,80.4,65.1
64,73.19,93.19,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,81.7,63.5
65,73.19,93.19,7. Stephanie-Elise Catley,OL Reign,Passes (inaccurate),1st half,81.7,63.5
66,73.19,93.19,7. Stephanie-Elise Catley,OL Reign,Passes into the penalty box,1st half,81.7,63.5
67,73.19,93.19,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,81.7,63.5
68,73.19,93.19,7. Stephanie-Elise Catley,OL Reign,Crosses (inaccurate),1st half,81.7,63.5
69,74.54,94.54,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,13.4,22.3
70,74.54,94.54,10. Lindsey Michelle Horan,Portland Thorns,Interceptions,1st half,13.4,22.3
71,74.54,94.54,10. Lindsey Michelle Horan,Portland Thorns,Passes (inaccurate),1st half,13.4,22.3
72,74.54,94.54,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,13.4,22.3
73,76.32,96.32,15. Megan Anna Rapinoe,OL Reign,Interceptions,1st half,86.5,62.5
74,76.32,96.32,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,86.5,62.5
75,76.32,96.32,15. Megan Anna Rapinoe,OL Reign,Interceptions (in opp. half),1st half,86.5,62.5
76,78.04,98.04,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,85.3,56.3
77,78.04,98.04,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,85.3,56.3
78,79.12,99.12,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,82.7,40.5
79,80.44,100.44,17. Tobin Powell Powell Heath,Portland Thorns,Positional attacks,1st half,21.0,27.5
80,80.44,100.44,17. Tobin Powell Powell Heath,Portland Thorns,Fouls,1st half,21.0,27.5
81,124.96,144.96,17. Tobin Powell Powell Heath,Portland Thorns,Lost balls,1st half,11.6,30.9
82,124.96,144.96,15. Megan Anna Rapinoe,OL Reign,Shots,1st half,82.9,43.8
83,124.96,144.96,17. Tobin Powell Powell Heath,Portland Thorns,Lost balls (in opp. half),1st half,11.6,30.9
84,124.96,144.96,15. Megan Anna Rapinoe,OL Reign,Free-kick attacks,1st half,82.9,43.8
85,124.96,144.96,17. Tobin Powell Powell Heath,Portland Thorns,Interceptions,1st half,11.6,30.9
86,126.48,146.48,20. Rumi Utsugi,OL Reign,Picking-ups,1st half,79.6,36.6
87,126.48,146.48,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,79.6,36.6
88,126.48,146.48,20. Rumi Utsugi,OL Reign,Picking-ups (in opp. half),1st half,79.6,36.6
89,126.48,146.48,20. Rumi Utsugi,OL Reign,Passes into the penalty box,1st half,79.6,36.6
90,126.48,146.48,20. Rumi Utsugi,OL Reign,Counter-attacks,1st half,79.6,36.6
91,127.75,147.75,7. Stephanie-Elise Catley,OL Reign,Counter-attacks,1st half,89.9,48.4
92,127.75,147.75,7. Stephanie-Elise Catley,OL Reign,Passes (inaccurate),1st half,89.9,48.4
93,127.75,147.75,7. Stephanie-Elise Catley,OL Reign,Passes into the penalty box,1st half,89.9,48.4
94,127.96,147.96,23. Margaret Purce,Portland Thorns,Interceptions,1st half,13.9,23.7
95,127.96,147.96,23. Margaret Purce,Portland Thorns,Counter-attacks,1st half,13.9,23.7
96,128.88,148.88,9. Caitlin Jade Foord,Portland Thorns,Picking-ups,1st half,18.7,19.9
97,128.88,148.88,9. Caitlin Jade Foord,Portland Thorns,Positional attacks,1st half,18.7,19.9
98,128.88,148.88,9. Caitlin Jade Foord,Portland Thorns,Positional attacks,1st half,18.7,19.9
99,131.55,151.55,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,54.8,48.4
100,131.55,151.55,3. Lauren Kate Barnes,OL Reign,Picking-ups,1st half,54.8,48.4
101,131.55,151.55,3. Lauren Kate Barnes,OL Reign,Picking-ups (in opp. half),1st half,54.8,48.4
102,132.93,152.93,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,56.7,51.7
103,132.93,152.93,3. Lauren Kate Barnes,OL Reign,Passes accurate,1st half,56.7,51.7
104,135.14,155.14,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,95.6,55.5
105,135.14,155.14,15. Megan Anna Rapinoe,OL Reign,Bad ball control,1st half,95.6,55.5
106,168.15,188.15,24. Adrianna Nichole Franch,Portland Thorns,Passes (inaccurate),1st half,5.2,39.3
107,168.15,188.15,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,5.2,39.3
108,168.15,188.15,24. Adrianna Nichole Franch,Portland Thorns,Goal kicks,1st half,5.2,39.3
109,171.06,191.06,20. Rumi Utsugi,OL Reign,Interceptions,1st half,47.0,11.5
110,171.06,191.06,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,47.0,11.5
111,171.06,191.06,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,47.0,11.5
112,171.06,191.06,20. Rumi Utsugi,OL Reign,Passes (inaccurate),1st half,47.0,11.5
113,172.03,192.03,30. Celeste Anais Boureille,Portland Thorns,Positional attacks,1st half,47.9,46.9
114,172.03,192.03,30. Celeste Anais Boureille,Portland Thorns,Passes (inaccurate),1st half,47.9,46.9
115,172.03,192.03,30. Celeste Anais Boureille,Portland Thorns,Positional attacks,1st half,47.9,46.9
116,172.03,192.03,30. Celeste Anais Boureille,Portland Thorns,Picking-ups,1st half,47.9,46.9
117,175.1,195.1,10. Jessica Anne Fishlock,OL Reign,Air challenges (lost),1st half,54.8,30.4
118,175.1,195.1,30. Celeste Anais Boureille,Portland Thorns,Challenges (won),1st half,50.2,37.6
119,175.1,195.1,10. Jessica Anne Fishlock,OL Reign,Challenges (lost),1st half,54.8,30.4
120,175.1,195.1,30. Celeste Anais Boureille,Portland Thorns,Air challenges (won),1st half,50.2,37.6
121,175.1,195.1,30. Celeste Anais Boureille,Portland Thorns,Positional attacks,1st half,50.2,37.6
122,177.09,197.09,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,48.3,40.0
123,177.09,197.09,10. Lindsey Michelle Horan,Portland Thorns,Picking-ups,1st half,48.3,40.0
124,177.09,197.09,10. Lindsey Michelle Horan,Portland Thorns,Passes (inaccurate),1st half,48.3,40.0
125,177.09,197.09,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,48.3,40.0
126,177.09,197.09,10. Lindsey Michelle Horan,Portland Thorns,Lost balls,1st half,55.7,31.8
127,178.63,198.63,20. Rumi Utsugi,OL Reign,Counter-attacks,1st half,49.3,36.2
128,178.63,198.63,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,49.3,36.2
129,178.63,198.63,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,49.3,36.2
130,178.63,198.63,20. Rumi Utsugi,OL Reign,Picking-ups,1st half,49.3,36.2
131,179.36,199.36,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,57.1,37.8
132,179.36,199.36,15. Megan Anna Rapinoe,OL Reign,Counter-attacks,1st half,57.1,37.8
133,180.77,200.77,10. Jessica Anne Fishlock,OL Reign,Counter-attacks,1st half,62.4,35.9
134,182.92,202.92,10. Jessica Anne Fishlock,OL Reign,Inaccurate extra attacking pass,1st half,68.0,44.3
135,182.92,202.92,10. Jessica Anne Fishlock,OL Reign,Passes into the penalty box,1st half,68.0,44.3
136,182.92,202.92,10. Jessica Anne Fishlock,OL Reign,Counter-attacks,1st half,68.0,44.3
137,182.92,202.92,15. Megan Anna Rapinoe,OL Reign,Counter-attacks,1st half,75.2,51.7
138,182.92,202.92,10. Jessica Anne Fishlock,OL Reign,Passes (inaccurate),1st half,68.0,44.3
139,185.59,205.59,15. Ellie Madison Carpenter,Portland Thorns,Interceptions,1st half,10.1,15.3
140,185.59,205.59,15. Ellie Madison Carpenter,Portland Thorns,Counter-attacks,1st half,10.1,15.3
141,185.59,205.59,15. Ellie Madison Carpenter,Portland Thorns,Counter-attacks,1st half,10.1,15.3
142,194.17,214.17,7. Stephanie-Elise Catley,OL Reign,Passes accurate,1st half,97.9,68.0
143,194.17,214.17,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,97.9,68.0
144,195.1,215.1,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,90.9,64.4
145,195.1,215.1,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,90.9,64.4
146,196.53,216.53,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,97.7,66.8
147,198.18,218.18,23. Margaret Purce,Portland Thorns,Positional attacks,1st half,5.2,6.2
148,198.18,218.18,7. Stephanie-Elise Catley,OL Reign,Crosses (inaccurate),1st half,99.8,61.8
149,198.18,218.18,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,99.8,61.8
150,226.43,246.43,15. Megan Anna Rapinoe,OL Reign,Corner attacks,1st half,105.0,68.0
151,226.43,246.43,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,105.0,68.0
152,226.43,246.43,15. Megan Anna Rapinoe,OL Reign,Passes into the penalty box,1st half,105.0,68.0
153,227.68,247.68,22. Jasmyne Spencer,OL Reign,Corner attacks,1st half,103.3,48.4
154,228.71,248.71,22. Jasmyne Spencer,OL Reign,Passes accurate,1st half,102.7,51.7
155,228.71,248.71,22. Jasmyne Spencer,OL Reign,Corner attacks,1st half,102.7,51.7
156,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Lost balls,1st half,98.5,60.1
157,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Passes into the penalty box,1st half,98.5,60.1
158,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Passes (inaccurate),1st half,98.5,60.1
159,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Corner attacks,1st half,98.5,60.1
160,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Corner attacks,1st half,98.5,60.1
161,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Crosses (inaccurate),1st half,98.5,60.1
162,229.42,249.42,15. Megan Anna Rapinoe,OL Reign,Corner attacks,1st half,98.5,60.1
163,230.92,250.92,10. Lindsey Michelle Horan,Portland Thorns,Interceptions,1st half,8.4,31.1
164,230.92,250.92,10. Lindsey Michelle Horan,Portland Thorns,Corner attacks,1st half,8.4,31.1
165,234.99,254.99,12. Christine Margaret Sinclair,Portland Thorns,Passes (inaccurate),1st half,12.0,62.7
166,234.99,254.99,12. Christine Margaret Sinclair,Portland Thorns,Lost balls (in opp. half),1st half,35.3,63.0
167,234.99,254.99,12. Christine Margaret Sinclair,Portland Thorns,Picking-ups,1st half,12.0,62.7
168,234.99,254.99,12. Christine Margaret Sinclair,Portland Thorns,Lost balls,1st half,35.3,63.0
169,237.38,257.38,3. Lauren Kate Barnes,OL Reign,Interceptions,1st half,69.7,5.0
170,237.38,257.38,3. Lauren Kate Barnes,OL Reign,Interceptions (in opp. half),1st half,69.7,5.0
171,260.38,280.38,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,5.0,37.4
172,260.38,280.38,24. Adrianna Nichole Franch,Portland Thorns,Goal kicks,1st half,5.0,37.4
173,260.38,280.38,24. Adrianna Nichole Franch,Portland Thorns,Passes accurate,1st half,5.0,37.4
174,262.95,282.95,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,51.9,57.2
175,262.95,282.95,6. Alexandra Linsley Long Batista,OL Reign,Challenges (lost),1st half,53.1,10.8
176,262.95,282.95,10. Lindsey Michelle Horan,Portland Thorns,Challenges (won),1st half,51.9,57.2
177,263.3,283.3,6. Alexandra Linsley Long Batista,OL Reign,Fouls,1st half,53.3,11.0
178,263.3,283.3,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,53.3,11.0
179,290.75,310.75,16. Emily Ann Sonnett,Portland Thorns,Passes (inaccurate),1st half,48.9,50.5
180,290.75,310.75,16. Emily Ann Sonnett,Portland Thorns,Passes into the penalty box,1st half,48.9,50.5
181,290.75,310.75,16. Emily Ann Sonnett,Portland Thorns,Free-kick attacks,1st half,48.9,50.5
182,293.33,313.33,6. Alexandra Linsley Long Batista,OL Reign,Free-kick attacks,1st half,13.9,37.1
183,293.33,313.33,6. Alexandra Linsley Long Batista,OL Reign,Passes accurate,1st half,13.9,37.1
184,293.33,313.33,6. Alexandra Linsley Long Batista,OL Reign,Free-kick attacks,1st half,13.9,37.1
185,293.33,313.33,6. Alexandra Linsley Long Batista,OL Reign,Interceptions,1st half,13.9,37.1
186,294.73,314.73,20. Rumi Utsugi,OL Reign,Free-kick attacks,1st half,21.2,44.3
187,294.73,314.73,20. Rumi Utsugi,OL Reign,Passes (inaccurate),1st half,21.2,44.3
188,297.34,317.34,30. Celeste Anais Boureille,Portland Thorns,Picking-ups,1st half,63.6,21.8
189,297.34,317.34,30. Celeste Anais Boureille,Portland Thorns,Picking-ups (in opp. half),1st half,63.6,21.8
190,297.34,317.34,30. Celeste Anais Boureille,Portland Thorns,Free-kick attacks,1st half,63.6,21.8
191,298.93,318.93,30. Celeste Anais Boureille,Portland Thorns,Passes accurate,1st half,58.0,27.8
192,298.93,318.93,30. Celeste Anais Boureille,Portland Thorns,Free-kick attacks,1st half,58.0,27.8
193,299.63,319.63,4. Emily Townsend Menges,Portland Thorns,Free-kick attacks,1st half,50.0,30.4
194,301.48,321.48,4. Emily Townsend Menges,Portland Thorns,Free-kick attacks,1st half,47.9,34.5
195,301.48,321.48,4. Emily Townsend Menges,Portland Thorns,Passes accurate,1st half,47.9,34.5
196,302.62,322.62,16. Emily Ann Sonnett,Portland Thorns,Free-kick attacks,1st half,45.6,45.5
197,303.47,323.47,16. Emily Ann Sonnett,Portland Thorns,Free-kick attacks,1st half,46.2,47.2
198,303.47,323.47,16. Emily Ann Sonnett,Portland Thorns,Passes accurate,1st half,46.2,47.2
199,305.33,325.33,25. Meghan Elizabeth Klingenberg,Portland Thorns,Lost balls,1st half,74.3,45.3
200,305.33,325.33,25. Meghan Elizabeth Klingenberg,Portland Thorns,Free-kick attacks,1st half,48.1,64.4
201,305.33,325.33,25. Meghan Elizabeth Klingenberg,Portland Thorns,Passes (inaccurate),1st half,48.1,64.4
202,307.62,327.62,3. Lauren Kate Barnes,OL Reign,Interceptions,1st half,30.7,22.7
203,307.62,327.62,3. Lauren Kate Barnes,OL Reign,Free-kick attacks,1st half,30.7,22.7
204,307.62,327.62,3. Lauren Kate Barnes,OL Reign,Passes accurate,1st half,30.7,22.7
205,310.28,330.28,6. Alexandra Linsley Long Batista,OL Reign,Passes accurate,1st half,36.8,13.2
206,312.34,332.34,8. Theresa Eslund,OL Reign,Passes accurate,1st half,35.5,2.4
207,316.6,336.6,6. Alexandra Linsley Long Batista,OL Reign,Passes accurate,1st half,27.9,5.5
208,318.37,338.37,4. Megan Leigh Oyster,OL Reign,Passes accurate,1st half,7.6,5.5
209,321.18,341.18,16. Emily Ann Sonnett,Portland Thorns,Air challenges (won),1st half,60.5,59.4
210,321.18,341.18,16. Emily Ann Sonnett,Portland Thorns,Challenges (won),1st half,60.5,59.4
211,321.18,341.18,10. Jessica Anne Fishlock,OL Reign,Challenges (lost),1st half,44.5,8.6
212,321.18,341.18,10. Jessica Anne Fishlock,OL Reign,Air challenges (lost),1st half,44.5,8.6
213,321.18,341.18,10. Jessica Anne Fishlock,OL Reign,Lost balls (in opp. half),1st half,44.5,8.6
214,321.18,341.18,10. Jessica Anne Fishlock,OL Reign,Lost balls,1st half,44.5,8.6
215,323.41,343.41,10. Lindsey Michelle Horan,Portland Thorns,Picking-ups (in opp. half),1st half,62.2,67.0
216,323.41,343.41,10. Lindsey Michelle Horan,Portland Thorns,Picking-ups,1st half,62.2,67.0
217,323.41,343.41,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,62.2,67.0
218,325.45,345.45,10. Lindsey Michelle Horan,Portland Thorns,Passes accurate,1st half,55.7,67.5
219,325.45,345.45,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,55.7,67.5
220,327.22,347.22,25. Meghan Elizabeth Klingenberg,Portland Thorns,Positional attacks,1st half,41.8,67.0
221,328.58,348.58,25. Meghan Elizabeth Klingenberg,Portland Thorns,Positional attacks,1st half,37.8,65.8
222,328.58,348.58,25. Meghan Elizabeth Klingenberg,Portland Thorns,Passes accurate,1st half,37.8,65.8
223,331.61,351.61,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,9.0,40.2
224,333,353,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,10.1,36.4
225,333,353,24. Adrianna Nichole Franch,Portland Thorns,Passes accurate,1st half,10.1,36.4
226,335.04,355.04,23. Margaret Purce,Portland Thorns,Bad ball control,1st half,44.9,15.3
227,335.04,355.04,23. Margaret Purce,Portland Thorns,Positional attacks,1st half,44.9,15.3
228,360.86,380.86,7. Stephanie-Elise Catley,OL Reign,Passes accurate,1st half,35.9,68.0
229,361.99,381.99,10. Jessica Anne Fishlock,OL Reign,Passes (inaccurate),1st half,47.9,63.2
230,362.64,382.64,23. Margaret Purce,Portland Thorns,Interceptions,1st half,60.7,3.6
231,362.64,382.64,23. Margaret Purce,Portland Thorns,Interceptions (in opp. half),1st half,60.7,3.6
232,365.08,385.08,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,50.4,68.0
233,365.08,385.08,15. Megan Anna Rapinoe,OL Reign,Passes (inaccurate),1st half,50.4,68.0
234,366.19,386.19,16. Emily Ann Sonnett,Portland Thorns,Interceptions,1st half,32.3,10.5
235,366.19,386.19,16. Emily Ann Sonnett,Portland Thorns,Positional attacks,1st half,32.3,10.5
236,366.19,386.19,16. Emily Ann Sonnett,Portland Thorns,Positional attacks,1st half,32.3,10.5
237,366.19,386.19,16. Emily Ann Sonnett,Portland Thorns,Passes (inaccurate),1st half,32.3,10.5
238,368.22,388.22,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,50.4,54.8
239,368.22,388.22,20. Rumi Utsugi,OL Reign,Picking-ups,1st half,50.4,54.8
240,368.22,388.22,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,50.4,54.8
241,368.22,388.22,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,50.4,54.8
242,371.02,391.02,4. Emily Townsend Menges,Portland Thorns,Air challenges (won),1st half,26.5,31.8
243,371.02,391.02,4. Emily Townsend Menges,Portland Thorns,Challenges (won),1st half,26.5,31.8
244,371.02,391.02,22. Jasmyne Spencer,OL Reign,Challenges (lost),1st half,78.5,36.2
245,371.02,391.02,22. Jasmyne Spencer,OL Reign,Air challenges (lost),1st half,78.5,36.2
246,371.02,391.02,4. Emily Townsend Menges,Portland Thorns,Positional attacks,1st half,26.5,31.8
247,371.02,391.02,22. Jasmyne Spencer,OL Reign,Lost balls,1st half,78.5,36.2
248,373.84,393.84,4. Emily Townsend Menges,Portland Thorns,Passes accurate,1st half,31.3,39.3
249,373.84,393.84,4. Emily Townsend Menges,Portland Thorns,Counter-attacks,1st half,31.3,39.3
250,376.49,396.49,17. Tobin Powell Powell Heath,Portland Thorns,Dribbling,1st half,45.2,61.8
251,376.49,396.49,17. Tobin Powell Powell Heath,Portland Thorns,Counter-attacks,1st half,45.2,61.8
252,376.49,396.49,17. Tobin Powell Powell Heath,Portland Thorns,Counter-attacks,1st half,45.2,61.8
253,378.38,398.38,8. Theresa Eslund,OL Reign,Challenges (lost),1st half,48.9,1.4
254,378.38,398.38,17. Tobin Powell Powell Heath,Portland Thorns,Counter-attacks,1st half,56.1,66.6
255,378.38,398.38,17. Tobin Powell Powell Heath,Portland Thorns,Dribbles (Successful actions),1st half,56.1,66.6
256,378.38,398.38,8. Theresa Eslund,OL Reign,Tackles (Unsuccessful actions),1st half,48.9,1.4
257,378.99,398.99,8. Theresa Eslund,OL Reign,Counter-attacks,1st half,49.1,1.9
258,378.99,398.99,8. Theresa Eslund,OL Reign,Fouls,1st half,49.1,1.9
259,418.39,438.39,16. Emily Ann Sonnett,Portland Thorns,Free-kick attacks,1st half,55.9,63.5
260,418.39,438.39,16. Emily Ann Sonnett,Portland Thorns,Passes accurate,1st half,55.9,63.5
261,418.39,438.39,16. Emily Ann Sonnett,Portland Thorns,Free-kick attacks,1st half,55.9,63.5
262,421.32,441.32,10. Lindsey Michelle Horan,Portland Thorns,Air challenges (lost),1st half,87.6,34.7
263,421.32,441.32,6. Alexandra Linsley Long Batista,OL Reign,Air challenges (won),1st half,17.4,33.3
264,421.32,441.32,6. Alexandra Linsley Long Batista,OL Reign,Challenges (won),1st half,17.4,33.3
265,421.32,441.32,6. Alexandra Linsley Long Batista,OL Reign,Free-kick attacks,1st half,17.4,33.3
266,421.32,441.32,10. Lindsey Michelle Horan,Portland Thorns,Challenges (lost),1st half,87.6,34.7
267,422.48,442.48,7. Stephanie-Elise Catley,OL Reign,Free-kick attacks,1st half,16.8,29.2
268,422.48,442.48,7. Stephanie-Elise Catley,OL Reign,Free-kick attacks,1st half,16.8,29.2
269,422.48,442.48,7. Stephanie-Elise Catley,OL Reign,Picking-ups,1st half,16.8,29.2
270,422.48,442.48,7. Stephanie-Elise Catley,OL Reign,Passes accurate,1st half,16.8,29.2
271,423.99,443.99,14. Jodie Lee Taylor,OL Reign,Free-kick attacks,1st half,30.4,28.3
272,423.99,443.99,14. Jodie Lee Taylor,OL Reign,Bad ball control,1st half,30.4,28.3
273,425.35,445.35,25. Meghan Elizabeth Klingenberg,Portland Thorns,Passes accurate,1st half,73.1,47.9
274,425.35,445.35,25. Meghan Elizabeth Klingenberg,Portland Thorns,Free-kick attacks,1st half,73.1,47.9
